State,2019 Rate,2019 Rank
North Dakota,2.3,1
Vermont,2.3,1
Hawaii,2.5,3
Utah,2.5,3
New Hampshire,2.6,5
Colorado,2.7,6
Maine,2.7,6
Virginia,2.7,6
Idaho,2.8,9
Iowa,2.8,9
South Carolina,2.8,9
Alabama,3.0,12
Massachusetts,3.0,12
Nebraska,3.0,12
South Dakota,3.0,12
Oklahoma,3.1,16
Indiana,3.2,17
Kansas,3.2,17
Minnesota,3.2,17
Florida,3.3,20
Missouri,3.3,20
Wisconsin,3.3,20
New Jersey,3.4,23
Tennessee,3.4,23
Arkansas,3.5,25
Georgia,3.5,25
Maryland,3.5,25
Texas,3.5,25
Connecticut,3.6,29
Montana,3.6,29
Rhode Island,3.6,29
Delaware,3.7,32
Oregon,3.7,32
Wyoming,3.7,32
New York,3.8,35
North Carolina,3.8,35
Nevada,3.9,37
Illinois,4.0,38
Kentucky,4.1,39
Michigan,4.1,39
Washington,4.1,39
California,4.2,42
Ohio,4.2,42
Pennsylvania,4.5,44
Louisiana,4.7,45
Arizona,4.9,46
West Virginia,4.9,46
New Mexico,5.0,48
Alaska,5.4,49
District of Columbia,5.4,49
Mississippi,5.5,51
