,State,Rate,Rank,Year
0,Nebraska,4.2,1,2020
1,South Dakota,4.6,2,2020
2,Utah,4.7,3,2020
3,North Dakota,5.1,4,2020
4,Iowa,5.3,5,2020
5,Idaho,5.4,6,2020
6,Maine,5.4,6,2020
7,Vermont,5.6,8,2020
8,Wyoming,5.8,9,2020
9,Alabama,5.9,10,2020
10,Kansas,5.9,10,2020
11,Montana,5.9,10,2020
12,Arkansas,6.1,13,2020
13,Missouri,6.1,13,2020
14,Oklahoma,6.1,13,2020
15,Minnesota,6.2,16,2020
16,South Carolina,6.2,16,2020
17,Virginia,6.2,16,2020
18,Wisconsin,6.3,19,2020
19,Georgia,6.5,20,2020
20,Kentucky,6.6,21,2020
21,New Hampshire,6.7,22,2020
22,Maryland,6.8,23,2020
23,Indiana,7.1,24,2020
24,Colorado,7.3,25,2020
25,North Carolina,7.3,25,2020
26,Tennessee,7.5,27,2020
27,Oregon,7.6,28,2020
28,Texas,7.6,28,2020
29,Florida,7.7,30,2020
30,Alaska,7.8,31,2020
31,Delaware,7.8,31,2020
32,Arizona,7.9,33,2020
33,Connecticut,7.9,33,2020
34,District of Columbia,8.0,35,2020
35,Mississippi,8.1,36,2020
36,Ohio,8.1,36,2020
37,Louisiana,8.3,38,2020
38,West Virginia,8.3,38,2020
39,New Mexico,8.4,40,2020
40,Washington,8.4,40,2020
41,Massachusetts,8.9,42,2020
42,Pennsylvania,9.1,43,2020
43,Rhode Island,9.4,44,2020
44,Illinois,9.5,45,2020
45,New Jersey,9.8,46,2020
46,Michigan,9.9,47,2020
47,New York,10.0,48,2020
48,California,10.1,49,2020
49,Hawaii,11.6,50,2020
50,Nevada,12.8,51,2020
